QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
192,Pharmacology,1,A patient on warfarin is prescribed clarithromycin for a chest infection. What effect will this have on INR?,No effect,Increased INR (enhanced anticoagulation),Decreased INR (reduced anticoagulation),Unpredictable effect,B,"Clarithromycin is a potent CYP3A4 (and CYP1A2) INHIBITOR; warfarin is metabolised partly by CYP3A4/2C9, so co-prescription reduces warfarin clearance, RAISING the INR and the risk of bleeding. The INR should be monitored closely and the warfarin dose reduced (or an alternative antibiotic used).","There is a clinically important interaction, so 'no effect' is wrong.",,"Enzyme INHIBITION raises, not lowers, warfarin levels, so the INR rises rather than falls.",The direction is predictable (INR rises); it is not simply 'unpredictable'.
193,Pharmacology,2,A patient on carbamazepine for epilepsy is started on the combined oral contraceptive pill. What is the concern?,Carbamazepine levels will increase causing toxicity,The COCP efficacy will be reduced due to enzyme induction,Carbamazepine will cause oestrogen excess,No interaction exists,B,"Carbamazepine is a potent hepatic ENZYME INDUCER (CYP3A4), accelerating metabolism of the oestrogen and progestogen in the combined pill and REDUCING its contraceptive efficacy, risking unplanned pregnancy. A method unaffected by enzyme induction (e.g. copper or levonorgestrel IUD, or depot medroxyprogesterone) should be advised.",Carbamazepine INDUCES enzymes and if anything lowers its own and others' levels; the COCP does not raise carbamazepine to toxicity.,,"By inducing oestrogen metabolism, carbamazepine REDUCES oestrogen exposure, not causes excess.",A clinically significant interaction does exist.
194,Pharmacology,1,Which of the following is the antidote for paracetamol overdose?,Flumazenil,N-acetylcysteine (NAC),Naloxone,Atropine,B,"The antidote for paracetamol overdose is N-acetylcysteine, which replenishes hepatic glutathione and detoxifies the reactive metabolite NAPQI. Treatment is guided by the paracetamol level plotted on the nomogram (or given empirically for staggered/late presentations); it is most effective within 8 hours but is still worthwhile up to and beyond 24 hours in established toxicity.","Flumazenil reverses benzodiazepines, not paracetamol.",,"Naloxone reverses opioids, not paracetamol.","Atropine treats bradycardia/organophosphate (cholinergic) toxicity, not paracetamol."
195,Pharmacology,1,A patient on simvastatin is prescribed amlodipine. Which statin-related adverse effect is increased by this combination?,Hepatotoxicity,Rhabdomyolysis/myopathy,Diabetes mellitus,Peripheral neuropathy,B,"Amlodipine inhibits CYP3A4, which metabolises simvastatin, so co-prescription raises simvastatin levels and increases the risk of MYOPATHY and rhabdomyolysis; the simvastatin dose should not exceed 20 mg with amlodipine. Statins with less CYP3A4 dependence (pravastatin, rosuvastatin) carry lower interaction risk.",Statin hepatotoxicity is uncommon and not the specific risk amplified by this CYP3A4 interaction.,,New-onset diabetes is a class effect of statins but is not increased by the amlodipine interaction.,Peripheral neuropathy is not the characteristic statin toxicity potentiated here.
196,Pharmacology,2,"A patient on lithium develops tremor, confusion, and hyperreflexia. Lithium level is 2.8 mmol/L (therapeutic range 0.6-1.0). What precipitated the toxicity?",Starting ibuprofen,Starting paracetamol,Increased fluid intake,Starting omeprazole,A,"NSAIDs such as IBUPROFEN reduce renal prostaglandin-mediated blood flow, lowering lithium clearance and causing lithium to accumulate to toxic levels (here 2.8 mmol/L). Other precipitants include dehydration, ACE inhibitors/ARBs and thiazide diuretics. Lithium is renally excreted with a narrow therapeutic index, so such interactions are dangerous.",,Paracetamol does not significantly affect renal lithium handling.,"Increased fluid intake would tend to LOWER, not raise, lithium levels.",Omeprazole is not a recognised precipitant of lithium toxicity.
197,Pharmacology,1,Which drug is the specific antidote for benzodiazepine overdose?,Naloxone,Flumazenil,N-acetylcysteine,Protamine,B,Flumazenil is the specific competitive antagonist at the benzodiazepine site of the GABA-A receptor and reverses benzodiazepine-induced sedation and respiratory depression. It is used cautiously: it can precipitate seizures in benzodiazepine-dependent patients or in mixed overdose with proconvulsants such as tricyclic antidepressants.,"Naloxone reverses opioids, not benzodiazepines.",,N-acetylcysteine is the paracetamol antidote.,"Protamine reverses heparin, not benzodiazepines."
198,Pharmacology,1,A patient on amiodarone develops hypothyroidism. Which aspect of amiodarone's structure explains its thyroid effects?,High iodine content,Structural similarity to thyroxine,Both A and B,Neither A nor B,C,Amiodarone affects the thyroid through BOTH mechanisms: it is ~37% iodine by weight (an enormous iodine load) AND it is structurally similar to thyroxine. This is why it can cause either hypothyroidism (Wolff–Chaikoff effect from iodine excess) or thyrotoxicosis (type 1 iodine-induced or type 2 destructive thyroiditis). Thyroid function should be monitored roughly 6-monthly.,High iodine content is only part of the explanation — structural similarity to thyroxine also contributes.,Structural similarity alone is incomplete; the huge iodine load is also central.,,"Both mechanisms operate, so 'neither' is incorrect."
199,Pharmacology,2,A patient on methotrexate for rheumatoid arthritis develops breathlessness and bilateral pulmonary infiltrates. HRCT shows ground-glass opacification. What is this complication?,Opportunistic infection,Methotrexate pneumonitis,Pulmonary fibrosis from RA,Pulmonary embolism,B,"New breathlessness with bilateral infiltrates and ground-glass change on HRCT in a patient on methotrexate is methotrexate pneumonitis — an idiosyncratic hypersensitivity reaction that is NOT dose-related and can occur at any time. Management is to stop methotrexate, exclude infection, and consider corticosteroids; it can be severe.","Opportunistic infection is an important differential and must be excluded, but the classic drug-related diagnosis here is methotrexate pneumonitis.",,"RA-associated pulmonary fibrosis is chronic and progressive, not an acute ground-glass pneumonitis temporally linked to the drug.","PE causes focal perfusion defects and pleuritic pain, not diffuse ground-glass hypersensitivity change."
200,Pharmacology,1,Which antihypertensive class is CONTRAINDICATED in bilateral renal artery stenosis?,Calcium channel blockers,Beta-blockers,ACE inhibitors/ARBs,Alpha-blockers,C,ACE inhibitors and ARBs are contraindicated in bilateral renal-artery stenosis (or stenosis of a single functioning kidney). Glomerular filtration in these kidneys depends on angiotensin-II-mediated constriction of the EFFERENT arteriole; blocking angiotensin II drops the filtration pressure and can precipitate acute kidney injury.,Calcium-channel blockers are safe and useful in renovascular hypertension.,Beta-blockers are not specifically contraindicated in bilateral RAS.,,Alpha-blockers are not contraindicated in this setting.
201,Pharmacology,1,Digoxin toxicity is exacerbated by which electrolyte abnormality?,Hyperkalaemia,Hypokalaemia,Hypernatraemia,Hypermagnesaemia,B,"HYPOKALAEMIA potentiates digoxin toxicity because potassium and digoxin compete for the same binding site on the Na⁺/K⁺-ATPase — when potassium is low, more digoxin binds. Hypomagnesaemia and hypercalcaemia also worsen toxicity. Features include nausea, xanthopsia (yellow-tinged vision) and arrhythmias; severe toxicity is reversed with digoxin-specific antibody fragments.",HYPERkalaemia does not potentiate chronic digoxin toxicity in the same way (though acute severe hyperkalaemia is a marker of massive overdose); the classic potentiating abnormality is hypokalaemia.,,Hypernatraemia does not potentiate digoxin toxicity.,Hypermagnesaemia is not the potentiating abnormality — it is HYPOmagnesaemia that increases toxicity.
202,Pharmacology,2,A patient on phenytoin has a level of 25 mg/L (therapeutic 10-20). Small dose increases cause disproportionately large rises in level. This is because phenytoin follows:,First-order kinetics,Zero-order (saturation) kinetics at therapeutic doses,Second-order kinetics,Linear kinetics,B,"Phenytoin follows ZERO-ORDER (saturable/Michaelis–Menten) kinetics at therapeutic doses: its metabolising enzymes are already near saturation, so a small dose increase can cause a disproportionately large rise in plasma level and tip a patient into toxicity. This non-linear behaviour is why phenytoin needs careful, small dose titration and level monitoring.","First-order kinetics would give proportionate level changes, which is NOT what phenytoin shows at therapeutic doses.",,'Second-order' kinetics is not the relevant pharmacokinetic description here.,"Its kinetics are non-linear, so 'linear' is incorrect."
203,Pharmacology,1,Which class of antibiotics is associated with QT prolongation and should be used with caution with other QT-prolonging drugs?,Penicillins,Macrolides,Cephalosporins,Aminoglycosides,B,"MACROLIDES (erythromycin, clarithromycin, and azithromycin to a lesser extent) prolong the QT interval by blocking the hERG potassium channel, so they must be used cautiously with other QT-prolonging drugs (amiodarone, antipsychotics, SSRIs, methadone). The combination raises the risk of torsades de pointes.",Penicillins are not associated with QT prolongation.,,Cephalosporins are not classic QT-prolonging antibiotics.,"Aminoglycosides cause oto-/nephrotoxicity, not QT prolongation."
204,Pharmacology,1,A patient on spironolactone and ramipril develops a potassium of 7.2 mmol/L. Which mechanism explains the hyperkalaemia?,Both drugs reduce renal potassium excretion through different mechanisms,Spironolactone increases potassium absorption,Ramipril causes metabolic alkalosis,Drug interaction producing a novel metabolite,A,"An ACE inhibitor (ramipril) reduces aldosterone production, while spironolactone BLOCKS the aldosterone receptor — two DIFFERENT mechanisms that each reduce renal potassium excretion. Used together (especially with renal impairment) they can cause severe hyperkalaemia, so U&E must be monitored. This is a mechanistic 'additive' interaction, not a novel metabolite.",,Spironolactone does not increase gut potassium ABSORPTION; it reduces renal potassium excretion.,Ramipril does not cause the hyperkalaemia via metabolic alkalosis; the mechanism is reduced potassium excretion.,There is no novel metabolite — the effect is additive on renal potassium handling.
205,Pharmacology,2,A patient on a DOAC (rivaroxaban) presents with life-threatening bleeding. What is the specific reversal agent?,Vitamin K,Fresh frozen plasma,Andexanet alfa,Idarucizumab,C,"Andexanet alfa is the specific reversal agent for the oral factor-Xa inhibitors (rivaroxaban, apixaban, edoxaban); it is a decoy factor-Xa that sequesters the drug. In life-threatening bleeding where andexanet is unavailable, prothrombin complex concentrate is used. (Idarucizumab reverses the direct thrombin inhibitor dabigatran, a different DOAC.)","Vitamin K reverses warfarin, not factor-Xa inhibitors.",FFP is not a specific or reliable reversal agent for DOACs.,,"Idarucizumab reverses DABIGATRAN, not rivaroxaban."
